OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
100;GOUTCA;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI UTE CACU I                                     GO       ;30/07/2010;31/07/2010;21/07/2010;22/07/2010;UTE;Térmica                       ,-51.01027800099996,-18.791944004999948
101;GOUTP ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PALMEIRAS DE GOIAS                         GO       ;30/07/2012;31/07/2012;16/07/2012;17/07/2012;UTE;Térmica                       ,-49.940000005,-16.776389002999963
102;MAGM1 ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GERAMAR I                                      MA       ;30/01/2010;31/01/2010;08/01/2010;09/01/2010;UTE;Térmica                       ,-44.556615002,-3.5664080009999566
103;MAGM2 ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GERAMAR II                                     MA       ;27/02/2010;28/02/2010;05/02/2010;06/02/2010;UTE;Térmica                       ,-44.554905004999966,-3.5663910060000035
104;MAUSUZ;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI UTE SUZANO                                     MA       ;31/03/2014;01/04/2014;03/04/2014;04/04/2014;UTE;Térmica                       ,-47.550556003999986,-5.415556005999974
105;MAUTM3;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE MARANHAO III                               MA       ;30/07/2016;31/07/2016;28/05/2014;29/05/2014;UTE;Térmica                       ,-44.356086000999994,-4.823900006999963
106;MAUTM4;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE MARANHAO IV                                MA       ;27/02/2013;28/02/2013;28/01/2013;29/01/2013;UTE;Térmica                       ,-44.35398900499996,-4.819717004999973
107;MAUTM5;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE MARANHAO V                                 MA       ;29/04/2013;30/04/2013;28/03/2013;29/03/2013;UTE;Térmica                       ,-44.354572005999955,-4.820883005999974
108;MAUTNV;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE NOVA VENECIA                               MA       ;29/12/2013;30/12/2013;22/10/2013;23/10/2013;UTE;Térmica                       ,-44.353586002999975,-4.81890300699996
109;MAUTP4;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PARNAIBA 4                                 MA       ;30/11/2013;01/12/2013;12/12/2013;13/12/2013;UTE;Térmica                       ,-44.35288129999998,-4.817772389999959
110;MAUTPI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PORTO DO ITAQUI                            MA       ;30/01/2013;31/01/2013;04/02/2013;05/02/2013;UTE;Térmica                       ,-44.355796999999995,-2.5861439999999902
